                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9037,                 3.3847,                 1.6854,                 0.0064,                0.16702,                0.00391,                0.00115,                  2.116,                 3.4774,                 2.4545,              5.001e-05,              5.001e-05,              5.001e-05
                      2,                 1.9246,                 3.6781,                 1.7884,                0.01172,                0.10994,                0.00617,                0.00213,                 2.2775,                 3.6712,                 2.4579,             0.00011207,             0.00011207,             0.00011207
                      3,                 1.4942,                 2.4664,                 1.4488,                0.50378,                0.43454,                0.39148,                0.25393,                 1.0473,                  2.164,                 1.1717,             0.00016885,             0.00016885,             0.00016885
                      4,                0.99609,                 1.5962,                 1.1578,                0.51259,                0.79921,                 0.6223,                0.40332,                 1.1931,                 1.8183,                 1.1711,             0.00022034,             0.00022034,             0.00022034
                      5,                0.91872,                  1.345,                 1.1246,                0.77005,                0.77241,                0.83545,                0.63983,                0.78823,                  1.243,                0.99223,             0.00026656,             0.00026656,             0.00026656
                      6,                0.76874,                 1.1562,                 1.0317,                0.89335,                0.90359,                0.95337,                0.79582,                0.61672,                0.87227,                0.92482,             0.00030749,             0.00030749,             0.00030749
                      7,                0.70497,                0.92654,                0.98678,                0.96956,                0.90394,                0.98392,                0.81075,                0.62241,                0.89099,                0.91753,             0.00034315,             0.00034315,             0.00034315
                      8,                0.80778,                0.86565,                 1.0241,                0.94476,                0.95868,                0.98957,                 0.8447,                0.58037,                  1.136,                0.91375,             0.00037352,             0.00037352,             0.00037352
                      9,                0.72119,                 0.8126,                0.98618,                0.93049,                0.95868,                0.98518,                0.78207,                0.69853,                 1.1199,                0.94755,             0.00039861,             0.00039861,             0.00039861
                     10,                0.73394,                0.76093,                0.98681,                  0.874,                0.95959,                0.97946,                0.76645,                0.74652,                 1.4684,                0.96929,             0.00041842,             0.00041842,             0.00041842
                     11,                0.74423,                0.75878,                 1.0214,                0.90221,                0.93091,                0.96725,                0.77757,                0.70796,                0.89911,                0.95934,             0.00043295,             0.00043295,             0.00043295
                     12,                0.76736,                0.80376,                 0.9737,                0.83319,                0.85113,                0.95502,                 0.7439,                0.78184,                 1.2294,                 0.9964,              0.0004422,              0.0004422,              0.0004422
                     13,                0.75441,                0.78659,                 1.0166,                0.79555,                0.94876,                0.97639,                0.84375,                0.58753,                0.97567,                0.93372,             0.00044617,             0.00044617,             0.00044617
                     14,                0.77012,                0.71366,                0.96769,                 0.8529,                0.95588,                0.98432,                0.86078,                0.55834,                0.89303,                0.90891,             0.00044486,             0.00044486,             0.00044486
                     15,                 0.6958,                0.68332,                 0.9778,                0.93506,                0.98153,                0.98452,                 0.8275,                0.64579,                0.69344,                0.92271,             0.00043826,             0.00043826,             0.00043826
                     16,                0.62926,                0.64343,                 0.9184,                0.89627,                0.96604,                0.96094,                0.76463,                0.73722,                0.57712,                0.95413,             0.00042639,             0.00042639,             0.00042639
                     17,                0.60066,                 0.5689,                0.91327,                0.93805,                0.88975,                0.97385,                 0.7879,                0.70028,                0.53892,                0.93753,             0.00040923,             0.00040923,             0.00040923
                     18,                0.56953,                0.49733,                0.89532,                0.97346,                0.98529,                0.99072,                0.85265,                0.56993,                0.54503,                0.90762,             0.00038679,             0.00038679,             0.00038679
                     19,                0.60813,                0.52802,                0.91914,                      1,                0.98609,                0.99137,                0.86556,                0.54645,                0.56388,                0.89816,             0.00035907,             0.00035907,             0.00035907
                     20,                0.65665,                0.53641,                 0.9534,                0.99783,                0.99118,                 0.9941,                0.86686,                0.57735,                0.53742,                0.90548,             0.00032607,             0.00032607,             0.00032607
                     21,                 0.6687,                0.52623,                0.92852,                0.99144,                0.99677,                0.99493,                0.88433,                0.56117,                0.48328,                0.89806,             0.00028779,             0.00028779,             0.00028779
                     22,                 0.6146,                0.48782,                0.89529,                0.99808,                0.99767,                  0.995,                0.89622,                0.51752,                 0.4012,                0.88386,             0.00024423,             0.00024423,             0.00024423
                     23,                0.55059,                0.44288,                0.88143,                0.99283,                0.99565,                  0.995,                0.88744,                0.52287,                0.36768,                0.88239,             0.00019539,             0.00019539,             0.00019539
                     24,                0.57055,                0.41397,                0.88198,                0.98755,                0.99856,                  0.995,                0.88009,                0.52929,                0.35383,                0.88093,             0.00014126,             0.00014126,             0.00014126
                     25,                0.55672,                0.42161,                0.89164,                 0.9863,                0.99918,                  0.995,                0.88083,                0.52337,                0.34233,                0.87666,             8.1856e-05,             8.1856e-05,             8.1856e-05
