                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3253,                 4.2395,                 2.0235,                 0.2762,                0.01173,                0.00465,                0.00133,                 2.4735,                 4.1065,                 2.3333,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 2.1097,                 3.4876,                 1.7977,                0.60399,                 0.1625,                0.14193,                0.09148,                 1.4561,                 4.0331,                 1.3901,             0.00015606,             0.00015606,             0.00015606
                      3,                 1.4338,                 2.4206,                 1.4125,                0.25981,                0.39287,                 0.2744,                0.14463,                  1.496,                 2.3662,                 1.4635,              0.0002302,              0.0002302,              0.0002302
                      4,                 1.0172,                  1.579,                 1.1339,                0.45952,                  0.469,                 0.4464,                0.28585,                 1.1757,                 1.7171,                 1.2696,              0.0002974,              0.0002974,              0.0002974
                      5,                 1.0802,                 1.5194,                 1.1808,                0.59607,                0.55587,                0.60154,                0.40055,                0.99459,                 1.1233,                 1.1626,             0.00035768,             0.00035768,             0.00035768
                      6,                0.98963,                  1.252,                 1.0841,                0.71255,                0.73752,                0.73628,                0.47767,                0.87291,                 1.1174,                 1.0632,             0.00041103,             0.00041103,             0.00041103
                      7,                 1.0588,                 1.3424,                 1.2012,                0.74898,                0.69726,                0.77817,                 0.5163,                0.81288,                0.98208,                 1.0015,             0.00045744,             0.00045744,             0.00045744
                      8,                 1.0134,                 1.2342,                  1.095,                0.52796,                0.65418,                0.71019,                0.49181,                0.84589,                 2.2853,                 1.0101,             0.00049693,             0.00049693,             0.00049693
                      9,                0.87608,                 1.0196,                 1.0434,                0.96189,                0.46484,                0.59432,                0.45366,                0.76762,                 1.0656,                0.99206,             0.00052948,             0.00052948,             0.00052948
                     10,                  0.992,                 1.1606,                 1.0982,                0.75111,                0.72883,                0.78546,                 0.5179,                0.85575,                 1.0182,                  1.053,             0.00055511,             0.00055511,             0.00055511
                     11,                0.89166,                 1.1031,                 1.0497,                0.73873,                0.71684,                0.75764,                0.47301,                0.92772,                 1.1346,                  1.075,              0.0005738,              0.0005738,              0.0005738
                     12,                0.93172,                 0.9715,                 1.0778,                0.54438,                0.47014,                0.47923,                0.27334,                 1.4097,                 2.1693,                 1.5021,             0.00058557,             0.00058557,             0.00058557
                     13,                0.98401,                0.99459,                 1.0588,                0.55742,                0.59255,                0.59386,                0.34268,                 1.2256,                 1.8172,                 1.3788,              0.0005904,              0.0005904,              0.0005904
                     14,                0.86931,                0.86995,                 1.0308,                 0.5829,                0.49735,                0.66401,                0.36489,                 1.1638,                 1.5803,                 1.3196,              0.0005883,              0.0005883,              0.0005883
                     15,                0.86381,                0.93715,                 1.0192,                0.61158,                0.64122,                0.73012,                0.42865,                 1.0583,                 1.1237,                 1.2194,               0.000557,               0.000557,               0.000557
                     16,                0.86289,                0.88639,                 1.0703,                0.50979,                0.56739,                0.53759,                0.28637,                 1.3378,                 1.9377,                 1.4433,              0.0005075,              0.0005075,              0.0005075
                     17,                0.91255,                 0.8527,                  1.029,                0.45538,                0.50749,                0.47156,                0.24124,                 1.5101,                  2.419,                 1.6915,               0.000458,               0.000458,               0.000458
                     18,                0.86884,                 0.8373,                  1.041,                0.66652,                0.59065,                 0.6727,                0.43115,                0.99939,                 1.2078,                 1.1841,              0.0004085,              0.0004085,              0.0004085
                     19,                0.77499,                0.76958,                 1.0032,                0.74569,                0.85751,                0.84436,                0.56096,                0.80481,                0.77683,                 1.0286,               0.000359,               0.000359,               0.000359
                     20,                0.70386,                0.67927,                0.96903,                0.80167,                0.85112,                0.85846,                 0.5818,                0.72424,                0.72261,                0.97442,              0.0003095,              0.0003095,              0.0003095
                     21,                0.76219,                0.71801,                0.96106,                0.74598,                 0.9148,                0.85145,                 0.5837,                0.72098,                0.65368,                0.97082,                0.00026,                0.00026,                0.00026
                     22,                0.72399,                0.60164,                0.97329,                0.76202,                0.84901,                0.83784,                0.59189,                 0.6889,                0.57024,                0.96251,              0.0002105,              0.0002105,              0.0002105
                     23,                 0.7589,                0.72524,                0.96295,                0.78385,                0.84653,                 0.8511,                0.59371,                0.70817,                0.54717,                 0.9687,               0.000161,               0.000161,               0.000161
                     24,                0.67862,                0.57615,                0.97343,                0.76724,                0.84076,                0.84936,                0.59323,                0.68984,                0.51956,                0.95738,              0.0001115,              0.0001115,              0.0001115
                     25,                0.67372,                0.51067,                0.90883,                 0.7708,                0.83931,                0.85135,                 0.5934,                0.67691,                0.50878,                0.95217,                6.2e-05,                6.2e-05,                6.2e-05
